premise	hypothesis	us_ratings	in_ratings
Kids going to college sometimes means that it's time to downsize your home.	Kids no longer live at home when they attend college.	['N', 'C', 'C', 'C', 'E']	['E', 'E', 'N', 'E', 'E']
I walked towards the entrance of a coffee shop with my hands full of bags. Lucky, another customer holds the door open for me.	The speaker felt lucky that someone was willing to hold the door.	['E', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'E']
I walked towards the entrance of a coffee shop with my hands full of bags. Lucky, another customer holds the door open for me.	The speaker felt lucky that someone happened to be at the door.	['E', 'E', 'N', 'E', 'N']	['N', 'E', 'E', 'E', 'N']
I walked towards the entrance of a coffee shop with my hands full of bags. Lucky, another customer holds the door open for me.	The speaker felt lucky that they did not need to drop their bags.	['E', 'E', 'E', 'E', 'N']	['E', 'E', 'E', 'E', 'E']
A salesperson promises a customer that a product will be delivered within two days, despite knowing it will take a week.	The salesperson wanted to maintain the business relationship with their customer.	['N', 'N', 'N', 'N', 'N']	['N', 'N', 'E', 'C', 'E']
A salesperson promises a customer that a product will be delivered within two days, despite knowing it will take a week.	The salesperson wanted to avoid giving customers false hope.	['C', 'C', 'C', 'C', 'C']	['N', 'C', 'C', 'C', 'C']
A salesperson promises a customer that a product will be delivered within two days, despite knowing it will take a week.	The salesperson did not know how much time the work would take.	['C', 'E', 'C', 'N', 'C']	['C', 'N', 'C', 'C', 'C']
A student modifies their uniform to reflect their unique style, testing the limits of the dress code.	The students are required to wear uniforms.	['E', 'E', 'E', 'E', 'E']	['E', 'N', 'E', 'E', 'E']
A student modifies their uniform to reflect their unique style, testing the limits of the dress code.	The student wants to follow the school's dress code.	['C', 'C', 'C', 'C', 'C']	['N', 'N', 'N', 'C', 'C']
A student modifies their uniform to reflect their unique style, testing the limits of the dress code.	The student knows the school dress code.	['E', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'N', 'N']
What's a more appropriate way to pay homage to the guest of honor than by bending down to touch their feet?	The speaker is discussing how to show respect to guests.	['E', 'E', 'E', 'E', 'E']	['E', 'E', 'N', 'E', 'E']
What's a more appropriate way to pay homage to the guest of honor than by bending down to touch their feet?	The speaker believes that bending down to touch their feet is the most appropriate way to honor a guest.	['E', 'C', 'C', 'E', 'N']	['E', 'N', 'N', 'E', 'N']
What's a more appropriate way to pay homage to the guest of honor than by bending down to touch their feet?	The speaker suggests that there are more suitable ways to honor a guest.	['N', 'E', 'N', 'C', 'N']	['N', 'E', 'N', 'N', 'E']
In a traditional tea ceremony, guests remove their shoes at the entrance and walk silently on the mats to the tea room.	Guests were concerned with maintaining the cleanliness of the tea room.	['N', 'C', 'N', 'E', 'N']	['C', 'E', 'E', 'E', 'E']
In a traditional tea ceremony, guests remove their shoes at the entrance and walk silently on the mats to the tea room.	Guests walked in the tea room barefoot.	['E', 'E', 'N', 'N', 'E']	['E', 'E', 'E', 'N', 'E']
In a traditional tea ceremony, guests remove their shoes at the entrance and walk silently on the mats to the tea room.	Guests were being respectful to the host of the tea ceremony.	['N', 'E', 'E', 'N', 'N']	['E', 'E', 'E', 'E', 'E']
When the professor encouraged us to call him by his first name, most students opted to stick with using his title out of respect.	The students were calling the professor with his title and last name.	['E', 'E', 'E', 'E', 'E']	['E', 'C', 'N', 'N', 'C']
When the professor encouraged us to call him by his first name, most students opted to stick with using his title out of respect.	The students were calling the professor with his title and first name.	['E', 'C', 'C', 'C', 'C']	['N', 'C', 'N', 'N', 'C']
When the professor encouraged us to call him by his first name, most students opted to stick with using his title out of respect.	The students were calling the professor with his title only.	['N', 'E', 'N', 'E', 'N']	['N', 'E', 'N', 'N', 'E']
At the dinner party, the host suggested we address him by his nickname, but I couldn't bring myself to do it.	The speaker was calling the host by his first name.	['N', 'E', 'C', 'N', 'N']	['N', 'N', 'C', 'N', 'N']
At the dinner party, the host suggested we address him by his nickname, but I couldn't bring myself to do it.	The speaker was calling the host with his title.	['C', 'E', 'N', 'C', 'E']	['C', 'N', 'C', 'N', 'N']
At the dinner party, the host suggested we address him by his nickname, but I couldn't bring myself to do it.	The speaker found the host's nickname controversial.	['C', 'N', 'N', 'C', 'N']	['N', 'N', 'E', 'N', 'C']
As someone running late for an important meeting, who doesn't love honking horns in heavy traffic to vent some stress?	The speaker likes honking at others to destress.	['E', 'N', 'E', 'E', 'E']	['C', 'C', 'N', 'N', 'C']
As someone running late for an important meeting, who doesn't love honking horns in heavy traffic to vent some stress?	The speaker is frustrated due to the traffic	['E', 'E', 'E', 'E', 'E']	['N', 'E', 'N', 'N', 'E']
As someone running late for an important meeting, who doesn't love honking horns in heavy traffic to vent some stress?	The speaker thinks people should not honk despite being stressful.	['C', 'C', 'C', 'C', 'C']	['N', 'E', 'N', 'C', 'C']
Public transportation is great in the cities but going to suburbs will require some serious planning.	People can go to the suburbs using public transportation.	['N', 'C', 'N', 'C', 'E']	['N', 'E', 'N', 'N', 'N']
Public transportation is great in the cities but going to suburbs will require some serious planning.	Public transportation is not available in the suburbs.	['N', 'N', 'E', 'N', 'C']	['N', 'E', 'C', 'C', 'N']
Public transportation is great in the cities but going to suburbs will require some serious planning.	Public transportation provides frequent service in the suburbs.	['N', 'C', 'C', 'C', 'N']	['C', 'N', 'N', 'C', 'C']
She looked at the menu carefully and ordered a cheeseburger.	She tried to save some money on the burger.	['N', 'N', 'N', 'N', 'C']	['N', 'N', 'N', 'N', 'N']
She looked at the menu carefully and ordered a cheeseburger.	She was concerned about her dietary choices.	['N', 'E', 'C', 'C', 'E']	['N', 'N', 'N', 'N', 'N']
She looked at the menu carefully and ordered a cheeseburger.	She avoided having burgers with beef.	['C', 'C', 'C', 'C', 'C']	['C', 'N', 'N', 'N', 'N']
The experienced baseball batter hit the ball hard and scored a home run.	The batter hit the ball out of the boundary.	['E', 'E', 'N', 'N', 'N']	['E', 'E', 'E', 'E', 'E']
The experienced baseball batter hit the ball hard and scored a home run.	The batter made it difficult for the fielding team to retrieve the ball quickly.	['E', 'C', 'E', 'E', 'E']	['E', 'N', 'N', 'C', 'E']
The experienced baseball batter hit the ball hard and scored a home run.	The batter ran back and forth to score runs.	['C', 'C', 'N', 'N', 'N']	['C', 'C', 'C', 'C', 'N']
A man in shorts laying under a large tree.	A man is playing soccer in the park.	['C', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
A man in shorts laying under a large tree.	A man is taking a nap in the shade in a park.	['E', 'N', 'N', 'E', 'N']	['E', 'N', 'E', 'N', 'E']
A man in shorts laying under a large tree.	A man relaxes on the ground on a warm day.	['E', 'E', 'N', 'E', 'N']	['N', 'N', 'N', 'N', 'E']
Her eyes widened as she caught sight of a furry head poking out of the driver's window from the car driving ahead of her.	She was taken aback by the driver's lack of safety considerations.	['C', 'N', 'N', 'N', 'N']	['E', 'N', 'E', 'C', 'N']
Her eyes widened as she caught sight of a furry head poking out of the driver's window from the car driving ahead of her.	She was surprised that the driver allowed their pets to sit on their lap while driving.	['E', 'N', 'E', 'E', 'N']	['E', 'E', 'N', 'C', 'N']
Her eyes widened as she caught sight of a furry head poking out of the driver's window from the car driving ahead of her.	She was amazed by the cuteness spotted during driving.	['C', 'N', 'N', 'N', 'C']	['N', 'N', 'N', 'C', 'N']
I'm sure he didn't leave a tip for the waiter.	I'm sure he did not have a good experience with the waiter.	['N', 'C', 'N', 'N', 'E']	['N', 'N', 'C', 'N', 'N']
I'm sure he didn't leave a tip for the waiter.	I'm sure he knew he did not need to leave a tip for the waiter.	['C', 'C', 'C', 'C', 'N']	['N', 'N', 'C', 'N', 'N']
I'm sure he didn't leave a tip for the waiter.	I'm sure he forgot to leave a tip for the waiter.	['N', 'N', 'N', 'C', 'C']	['N', 'N', 'N', 'N', 'N']
Nothing screams "natural and healthy" like non-GMO products.	The speaker believes that non-GMO products are natural and healthy.	['N', 'C', 'C', 'E', 'E']	['E', 'E', 'E', 'E', 'N']
Nothing screams "natural and healthy" like non-GMO products.	The speaker appreciates non-GMO products.	['N', 'C', 'C', 'E', 'E']	['E', 'N', 'E', 'E', 'N']
Nothing screams "natural and healthy" like non-GMO products.	The speaker believes that non-GMO products are over advertised.	['E', 'E', 'N', 'N', 'N']	['N', 'N', 'N', 'C', 'N']
She was wearing a white dress at the wedding too.	She was the only person at the wedding wearing a white dress.	['C', 'C', 'C', 'C', 'C']	['N', 'N', 'N', 'C', 'N']
She was wearing a white dress at the wedding too.	She was the only person at the wedding wearing a white dress, except the bride.	['N', 'N', 'E', 'N', 'N']	['N', 'E', 'N', 'N', 'N']
She was wearing a white dress at the wedding too.	She should not wear a white dress at the wedding.	['N', 'N', 'C', 'C', 'N']	['C', 'C', 'C', 'N', 'N']
After receiving a call from the school about their child's misbehavior, the parent regretted resorting to slapping as a disciplinary measure.	The parent realized physical punishment is not an effective way to discipline children.	['C', 'N', 'E', 'N', 'N']	['E', 'E', 'E', 'E', 'N']
After receiving a call from the school about their child's misbehavior, the parent regretted resorting to slapping as a disciplinary measure.	The parent regretted because using physical punishment led to the school taking action against the parent.	['C', 'C', 'N', 'C', 'N']	['C', 'N', 'N', 'C', 'C']
After receiving a call from the school about their child's misbehavior, the parent regretted resorting to slapping as a disciplinary measure.	The parent reacted to the school's call by resorting to physical disciplinary measures.	['N', 'E', 'C', 'N', 'N']	['E', 'N', 'N', 'E', 'N']
Excitedly, she entered the classroom, ready to immerse the young minds in the magic of storytelling on "guest reader" day.	A teacher was excited to read stories to her students.	['C', 'C', 'C', 'N', 'N']	['C', 'E', 'E', 'C', 'N']
Excitedly, she entered the classroom, ready to immerse the young minds in the magic of storytelling on "guest reader" day.	A visiting author had been invited to read stories to the class.	['N', 'E', 'E', 'E', 'N']	['N', 'N', 'N', 'N', 'N']
Excitedly, she entered the classroom, ready to immerse the young minds in the magic of storytelling on "guest reader" day.	A parent volunteer was eager to share her love of reading with the class.	['N', 'N', 'N', 'E', 'N']	['N', 'N', 'N', 'N', 'N']
It's incredible to see how parents are thinking about college even when their kids are still in elementary school.	The speaker is impressed by the level of dedication and forward-thinking exhibited by these parents.	['E', 'C', 'N', 'E', 'E']	['N', 'C', 'E', 'N', 'N']
It's incredible to see how parents are thinking about college even when their kids are still in elementary school.	The speaker is expressing disbelief that parents are already thinking about college for their young children.	['C', 'E', 'N', 'N', 'N']	['N', 'E', 'C', 'C', 'E']
It's incredible to see how parents are thinking about college even when their kids are still in elementary school.	The speaker is critical of the parents for putting too much pressure on their children at a young age.	['C', 'N', 'N', 'N', 'C']	['N', 'N', 'N', 'C', 'N']
Some families revolve their entire lives around their children's class schedules, all driven by the dream of securing college admission!	The speaker is concerned about the single-minded focus some families have on their children's education.	['E', 'E', 'E', 'N', 'N']	['N', 'N', 'E', 'N', 'N']
Some families revolve their entire lives around their children's class schedules, all driven by the dream of securing college admission!	The speaker is admiring the dedication of parents who are willing to make sacrifices.	['C', 'N', 'C', 'N', 'N']	['E', 'N', 'N', 'N', 'N']
Some families revolve their entire lives around their children's class schedules, all driven by the dream of securing college admission!	The speaker is unaware of the competitive nature of college admissions.	['C', 'C', 'C', 'C', 'N']	['N', 'C', 'N', 'C', 'C']
In the realm of financial products, there's nothing quite like a comprehensive list of potential risks to truly fill your heart with confidence and trust.	The list of potential risks associated with financial products is so long that it actually decreases confidence in the products.	['E', 'N', 'E', 'E', 'N']	['N', 'N', 'C', 'C', 'N']
In the realm of financial products, there's nothing quite like a comprehensive list of potential risks to truly fill your heart with confidence and trust.	Listing all potential risks associated with a financial product is important to build trust with customers.	['C', 'E', 'C', 'C', 'E']	['E', 'E', 'E', 'N', 'C']
In the realm of financial products, there's nothing quite like a comprehensive list of potential risks to truly fill your heart with confidence and trust.	Seeing a comprehensive list of potential risks makes people feel excited about investing in the product.	['C', 'C', 'C', 'C', 'N']	['C', 'C', 'C', 'N', 'C']
Holding the door, he glanced back and checked out of habit.	Glancing back and checking is a practice of courtesy.	['E', 'E', 'E', 'E', 'N']	['E', 'E', 'E', 'N', 'N']
Holding the door, he glanced back and checked out of habit.	He was trained to be alert of people following.	['N', 'N', 'E', 'C', 'E']	['N', 'N', 'N', 'N', 'N']
Holding the door, he glanced back and checked out of habit.	He had a habit of holding the door.	['N', 'E', 'E', 'E', 'N']	['E', 'E', 'N', 'N', 'E']
Huddled together on a small beach towel, they soak up the sun and chat about the summer plan.	They happily share a spot on the beach towel together.	['E', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'E']
Huddled together on a small beach towel, they soak up the sun and chat about the summer plan.	They are discussing their vacation plan.	['N', 'N', 'E', 'N', 'N']	['N', 'E', 'E', 'E', 'E']
Huddled together on a small beach towel, they soak up the sun and chat about the summer plan.	They are well prepared for a beach day.	['N', 'N', 'N', 'N', 'N']	['N', 'E', 'N', 'N', 'N']
She suggested splitting the bill, but he firmly stated that he would be the one to pay for the meal.	He was interested in splitting the bill with her.	['C', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
She suggested splitting the bill, but he firmly stated that he would be the one to pay for the meal.	She thought he would want to split the bill with her.	['N', 'E', 'N', 'N', 'C']	['E', 'N', 'N', 'N', 'N']
She suggested splitting the bill, but he firmly stated that he would be the one to pay for the meal.	She had an enjoyable meal with him.	['N', 'N', 'N', 'E', 'E']	['N', 'E', 'E', 'N', 'N']
As they smiled at each other, a spark of recognition passed between them, silently acknowledging the shared experience of being human.	Two people from different backgrounds have found common ground in their humanity.	['E', 'E', 'N', 'N', 'E']	['E', 'N', 'E', 'N', 'N']
As they smiled at each other, a spark of recognition passed between them, silently acknowledging the shared experience of being human.	Two strangers have just met and smiled at each other.	['E', 'N', 'N', 'N', 'N']	['N', 'N', 'N', 'N', 'E']
As they smiled at each other, a spark of recognition passed between them, silently acknowledging the shared experience of being human.	Two people who had met before are reconnecting after a long time.	['C', 'C', 'N', 'C', 'N']	['N', 'E', 'N', 'N', 'N']
He didn't work under the manager, he worked with them.	He did not work in a subordinate role, but had a collaborative working relationship with the manager.	['E', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'E']
He didn't work under the manager, he worked with them.	He did not work with the manager in a positive manner, but rather alongside them.	['C', 'C', 'N', 'N', 'C']	['N', 'N', 'C', 'E', 'C']
He didn't work under the manager, he worked with them.	He did not work exclusively under the manager, but rather had involvement with different managers.	['N', 'C', 'N', 'N', 'C']	['N', 'N', 'N', 'C', 'N']
They worked really hard, but they were grateful that they were judged by how hard they worked here.	They are expressing gratitude for a workplace where hard work is valued.	['E', 'N', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'E']
They worked really hard, but they were grateful that they were judged by how hard they worked here.	They were not confident in their abilities, but they were relieved that their efforts were acknowledged.	['N', 'C', 'N', 'N', 'N']	['N', 'N', 'N', 'C', 'C']
They worked really hard, but they were grateful that they were judged by how hard they worked here.	They were in a competitive work environment where judgment was common.	['N', 'N', 'N', 'N', 'N']	['N', 'N', 'N', 'C', 'N']
Their desire to be doctors is rooted in the desire for job security.	They do not have a genuine passion for medicine.	['E', 'E', 'N', 'N', 'N']	['C', 'N', 'E', 'E', 'C']
Their desire to be doctors is rooted in the desire for job security.	Doctor is a secure profession with good job prospects.	['N', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'C', 'E']
Their desire to be doctors is rooted in the desire for job security.	Their desire to become a doctor is misguided.	['N', 'E', 'N', 'E', 'N']	['C', 'N', 'E', 'C', 'C']
He opened the gift only to find half of it mysteriously disappeared, just like receiving the first paycheck.	The person received a gift in a perfect state.	['C', 'C', 'C', 'C', 'C']	['N', 'C', 'C', 'E', 'C']
He opened the gift only to find half of it mysteriously disappeared, just like receiving the first paycheck.	It's common to receive the first paycheck with a large portion missing.	['E', 'E', 'E', 'N', 'N']	['C', 'N', 'E', 'N', 'C']
He opened the gift only to find half of it mysteriously disappeared, just like receiving the first paycheck.	His experience of receiving the gift is similar to his experience of receiving the first paycheck.	['E', 'N', 'E', 'E', 'E']	['E', 'N', 'E', 'N', 'N']
He got his paycheck, technically speaking, only half of it.	He received the full amount on his paycheck.	['C', 'C', 'C', 'C', 'C']	['C', 'C', 'E', 'C', 'C']
He got his paycheck, technically speaking, only half of it.	He was not paid the full amount he deserved.	['E', 'E', 'N', 'E', 'N']	['E', 'E', 'C', 'E', 'N']
He got his paycheck, technically speaking, only half of it.	He had withholdings on his paycheck.	['E', 'E', 'E', 'N', 'E']	['E', 'N', 'C', 'N', 'E']
Learn golf because it will be good for your career.	Learning golf will help you build connections with business partners.	['N', 'N', 'E', 'E', 'E']	['N', 'E', 'E', 'E', 'N']
Learn golf because it will be good for your career.	You will not be taken seriously if you don't know how to play golf.	['N', 'N', 'C', 'E', 'N']	['C', 'N', 'N', 'C', 'N']
Learn golf because it will be good for your career.	Having a career as a professional golfer is rewarding.	['C', 'N', 'E', 'C', 'N']	['N', 'N', 'E', 'C', 'N']
Everyone knows a Main street where everything in their life happens.	There is a place in every person's life that holds significant importance.	['N', 'E', 'E', 'E', 'E']	['N', 'N', 'E', 'C', 'N']
Everyone knows a Main street where everything in their life happens.	There is a Main street in every town or city.	['C', 'C', 'C', 'N', 'N']	['N', 'N', 'E', 'E', 'N']
Everyone knows a Main street where everything in their life happens.	Main street is a hub for community events and social interaction.	['C', 'C', 'N', 'N', 'N']	['N', 'N', 'N', 'C', 'N']
As you watch football, you may find it amusing when people carry the ball in their hands.	Kicking a ball with their feet is less amusing while playing football.	['E', 'E', 'N', 'N', 'N']	['N', 'N', 'N', 'N', 'N']
As you watch football, you may find it amusing when people carry the ball in their hands.	People carry the ball in their hands when playing football.	['N', 'E', 'N', 'C', 'E']	['N', 'N', 'E', 'E', 'E']
As you watch football, you may find it amusing when people carry the ball in their hands.	Carrying a ball in one's hands while playing football is ridiculous.	['N', 'E', 'E', 'E', 'C']	['E', 'C', 'N', 'C', 'C']
If you mentioned the football championship, people think you are talking about the Super Bowl.	Mentioning a football championship is enough to make people understand what you are talking about.	['C', 'C', 'C', 'E', 'N']	['C', 'N', 'C', 'N', 'C']
If you mentioned the football championship, people think you are talking about the Super Bowl.	Do not assume others will automatically know what football championship you are referring to.	['E', 'E', 'E', 'C', 'E']	['N', 'N', 'C', 'N', 'N']
If you mentioned the football championship, people think you are talking about the Super Bowl.	Mentioning the Super Bowl is the only way to get people's attention and interests on football.	['C', 'C', 'C', 'N', 'N']	['N', 'C', 'E', 'N', 'C']
As soon as the manager entered the room, the employees rose from their chairs with a quick motion.	The employees were excited to see the manager.	['N', 'N', 'N', 'N', 'N']	['N', 'N', 'E', 'N', 'N']
As soon as the manager entered the room, the employees rose from their chairs with a quick motion.	The employees were surprised by the manager's presence.	['N', 'N', 'N', 'N', 'E']	['N', 'N', 'C', 'N', 'N']
As soon as the manager entered the room, the employees rose from their chairs with a quick motion.	The employees rose from their chairs out of respect for their superior.	['E', 'E', 'E', 'N', 'E']	['E', 'E', 'E', 'E', 'E']
It's not every day that the whole room stands up when the manager walks in.	The manager is well-respected and deserving of the attention when entering the room	['E', 'N', 'E', 'N', 'E']	['N', 'C', 'N', 'N', 'N']
It's not every day that the whole room stands up when the manager walks in.	The manager's popularity is overblown given the attention received when talking in.	['C', 'N', 'C', 'E', 'N']	['N', 'E', 'N', 'N', 'C']
It's not every day that the whole room stands up when the manager walks in.	The manager usually did not receive much attention when walking into the room.	['C', 'E', 'E', 'C', 'N']	['E', 'N', 'E', 'C', 'C']
Indulging in food or drink during a meeting with a manager can be perceived as a lack of professionalism.	Consuming food or drink during a meeting with a manager may be viewed as a lack of respect.	['E', 'N', 'E', 'E', 'N']	['N', 'E', 'E', 'C', 'N']
Indulging in food or drink during a meeting with a manager can be perceived as a lack of professionalism.	Managers focus on the content of the meeting instead of employees' eating or drinking habits.	['N', 'C', 'C', 'E', 'N']	['N', 'N', 'N', 'C', 'N']
Indulging in food or drink during a meeting with a manager can be perceived as a lack of professionalism.	Not everyone perceives eating food or drinking during a meeting with a manager as a lack of professionalism.	['N', 'N', 'C', 'E', 'C']	['C', 'C', 'N', 'C', 'E']
I'm sure the manager is happy to watch me eat while they're working hard.	The speaker is expressing their frustration with the manager not allowing food during the meeting.	['C', 'C', 'C', 'C', 'N']	['C', 'C', 'N', 'N', 'N']
I'm sure the manager is happy to watch me eat while they're working hard.	The speaker feels guilty or uncomfortable about eating in front of the manager.	['N', 'E', 'N', 'N', 'N']	['N', 'N', 'E', 'C', 'N']
I'm sure the manager is happy to watch me eat while they're working hard.	The speaker believes that the manager is pleased to have lunch together despite being busy.	['C', 'C', 'C', 'N', 'C']	['C', 'C', 'C', 'E', 'C']
From the lowest clerk to the highest executive, my manager would say hello to everyone in the company.	The speaker is praising their manager for being friendly and approachable with all employees.	['E', 'E', 'E', 'E', 'E']	['E', 'E', 'N', 'N', 'E']
From the lowest clerk to the highest executive, my manager would say hello to everyone in the company.	The speaker is implying that their manager wastes time by greeting everyone in the company.	['C', 'C', 'C', 'C', 'N']	['C', 'C', 'N', 'E', 'C']
From the lowest clerk to the highest executive, my manager would say hello to everyone in the company.	The speaker is suggesting that their manager is insincere and only does greeting as a form of politeness.	['N', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
Everyone knows which day is 01/06/2021.	Everyone is aware that the date is June 1st, 2021.	['C', 'N', 'E', 'C', 'N']	['E', 'E', 'E', 'E', 'N']
Everyone knows which day is 01/06/2021.	Everyone knows what happens on the day.	['N', 'N', 'E', 'C', 'E']	['C', 'E', 'N', 'E', 'N']
Everyone knows which day is 01/06/2021.	There is significance to the date.	['E', 'N', 'E', 'E', 'E']	['N', 'E', 'N', 'N', 'C']
It's not uncommon to stay loyal to your employer, especially if they treat you well.	Many people tend to remain loyal to their employers.	['N', 'E', 'N', 'E', 'N']	['N', 'E', 'N', 'N', 'N']
It's not uncommon to stay loyal to your employer, especially if they treat you well.	People are more likely to leave unless the employer has treated them well.	['N', 'N', 'N', 'N', 'E']	['E', 'N', 'E', 'N', 'E']
It's not uncommon to stay loyal to your employer, especially if they treat you well.	Staying loyal to one's employer is not always the best decision, even if they have been treated well.	['C', 'N', 'C', 'C', 'C']	['C', 'C', 'N', 'C', 'N']
Young workers often want to run their own company rather than work for someone else, confident that they know everything.	Young workers are overconfident in wanting to start their own business.	['E', 'E', 'E', 'E', 'N']	['N', 'E', 'N', 'C', 'N']
Young workers often want to run their own company rather than work for someone else, confident that they know everything.	Young workers and their desire for independence are admirable.	['C', 'C', 'N', 'N', 'N']	['N', 'N', 'N', 'C', 'E']
Young workers often want to run their own company rather than work for someone else, confident that they know everything.	Young workers have the skills and knowledge necessary to succeed as entrepreneurs.	['C', 'C', 'C', 'N', 'C']	['C', 'N', 'C', 'E', 'N']
Hey, don't even think about asking for a raise, it's like walking on thin ice around here.	The company is going through a tough time financially.	['N', 'E', 'N', 'N', 'E']	['N', 'N', 'N', 'E', 'N']
Hey, don't even think about asking for a raise, it's like walking on thin ice around here.	Asking for a raise may result in losing your job here.	['N', 'E', 'E', 'N', 'E']	['N', 'E', 'N', 'C', 'N']
Hey, don't even think about asking for a raise, it's like walking on thin ice around here.	Asking for a raise would be ill-advised until you improve your work.	['N', 'N', 'C', 'N', 'N']	['N', 'N', 'N', 'N', 'N']
He felt that waiting for a train in the midst of a snowstorm was like waiting for a raise.	Waiting for a raise is frustrating.	['E', 'N', 'E', 'E', 'N']	['N', 'E', 'E', 'C', 'N']
He felt that waiting for a train in the midst of a snowstorm was like waiting for a raise.	Waiting for a raise is an unpredictable situation but it will come eventually.	['N', 'N', 'N', 'C', 'N']	['N', 'N', 'E', 'E', 'N']
He felt that waiting for a train in the midst of a snowstorm was like waiting for a raise.	Waiting for a raise can never get you a raise.	['C', 'C', 'N', 'E', 'C']	['C', 'C', 'N', 'C', 'C']
Job seekers prioritize job security in uncertain times.	Job security is a top priority for job seekers during uncertain times.	['E', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'C', 'E']
Job seekers prioritize job security in uncertain times.	Job seekers prioritize other factors over job security when the economy is good.	['C', 'C', 'E', 'E', 'N']	['C', 'C', 'E', 'E', 'C']
Job seekers prioritize job security in uncertain times.	Job seekers are willing to compromise salary or location for a more secure job.	['E', 'N', 'C', 'E', 'N']	['E', 'N', 'N', 'N', 'N']
Look, if they don't give me the raise I deserve, I'm out of here. That's just how it is in the real world.	The speaker is expressing their frustration with the possibility of not receiving a raise.	['E', 'E', 'N', 'E', 'E']	['E', 'E', 'N', 'E', 'E']
Look, if they don't give me the raise I deserve, I'm out of here. That's just how it is in the real world.	The speaker believes they will be asked to leave the company if the promotion fails.	['C', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'N', 'N']
Look, if they don't give me the raise I deserve, I'm out of here. That's just how it is in the real world.	The speaker is making a threat to their employer.	['E', 'C', 'E', 'E', 'N']	['E', 'N', 'N', 'N', 'N']
Hey, did you catch the football game last night? he asked his colleagues as he grabbed a cold beer from the cooler.	He is hanging out with his friend in a bar.	['N', 'C', 'N', 'N', 'C']	['N', 'N', 'N', 'N', 'E']
Hey, did you catch the football game last night? he asked his colleagues as he grabbed a cold beer from the cooler.	He is chatting with his colleague in the office.	['C', 'C', 'N', 'C', 'N']	['N', 'C', 'N', 'C', 'C']
Hey, did you catch the football game last night? he asked his colleagues as he grabbed a cold beer from the cooler.	He watched a football game last night.	['N', 'N', 'N', 'C', 'N']	['E', 'E', 'N', 'N', 'N']
Nothing is more fun than rushing to finish your shopping and getting kicked out by 8:30 pm sharp.	It is thrilling to complete your shopping before the store's closing time.	['C', 'C', 'C', 'N', 'C']	['N', 'E', 'N', 'E', 'N']
Nothing is more fun than rushing to finish your shopping and getting kicked out by 8:30 pm sharp.	The store's strict closing time is frustrating for shoppers.	['E', 'E', 'E', 'N', 'E']	['E', 'N', 'N', 'C', 'N']
Nothing is more fun than rushing to finish your shopping and getting kicked out by 8:30 pm sharp.	The store closes too early for people to enjoy their shopping.	['N', 'N', 'E', 'N', 'E']	['E', 'N', 'E', 'N', 'C']
Being a big social media platform, 01/04 is always a confusing date.	The speaker is expressing frustration with different date formats.	['N', 'E', 'N', 'N', 'N']	['N', 'E', 'E', 'N', 'N']
Being a big social media platform, 01/04 is always a confusing date.	The speaker is making a humorous comment about the confusion that arises on April Fool's Day.	['E', 'N', 'N', 'E', 'N']	['E', 'C', 'C', 'E', 'N']
Being a big social media platform, 01/04 is always a confusing date.	The speaker is suggesting that the platform is always in a state of confusion.	['C', 'C', 'C', 'N', 'N']	['N', 'C', 'C', 'C', 'C']
Only those who can afford the medical bills were considered truly prepared for life's unexpected ailments.	Those who have enough financial resources are more likely to face unexpected emergencies.	['C', 'C', 'E', 'C', 'C']	['E', 'E', 'E', 'C', 'C']
Only those who can afford the medical bills were considered truly prepared for life's unexpected ailments.	The healthcare system is disappointing where only those with deep pockets can access the best medical care.	['N', 'C', 'N', 'N', 'N']	['E', 'E', 'C', 'E', 'N']
Only those who can afford the medical bills were considered truly prepared for life's unexpected ailments.	Many people are underprepared for medical emergence due to financial reasons.	['E', 'N', 'E', 'E', 'E']	['E', 'E', 'C', 'E', 'N']
He finally got his first paycheck from his employer, only to find half of it was gone already.	His employer only paid him half of the salary he deserved.	['C', 'C', 'N', 'E', 'C']	['E', 'E', 'E', 'E', 'C']
He finally got his first paycheck from his employer, only to find half of it was gone already.	His paycheck was subject to significant withholding.	['E', 'E', 'E', 'N', 'E']	['E', 'N', 'N', 'E', 'N']
He finally got his first paycheck from his employer, only to find half of it was gone already.	His employer was reluctant to pay him.	['C', 'C', 'N', 'N', 'C']	['E', 'C', 'N', 'C', 'C']
Changing jobs frequently is the best way to make sure you never get too comfortable.	Changing jobs frequently is a way to avoid satisfaction with current achievements.	['N', 'C', 'E', 'E', 'E']	['E', 'E', 'E', 'C', 'N']
